시즌,제목,리뷰수,평점
1,Unaired Pilot,"11,685",8.7
1,A Study in Pink,"32,117",8.9
1,The Blind Banker,"27,711",7.9
1,The Great Game,"28,310",9.0
2,A Scandal in Belgravia,"40,157",9.4
2,The Hounds of Baskerville,"26,804",8.3
2,The Reichenbach Fall,"39,273",9.6
3,Many Happy Returns,"11,906",8.4
3,The Empty Hearse,"30,894",8.8
3,The Sign of Three,"27,827",8.9
3,His Last Vow,"30,933",9.2
4,The Abominable Bride,"35,079",8.0
4,The Six Thatchers,"24,981",7.6
4,The Lying Detective,"27,943",9.1
4,The Final Problem,"28,171",8.1
